ApplicantID,xgb_prediction
Apcnt_1000032,1
Apcnt_1000048,0
Apcnt_1000052,0
Apcnt_1000076,1
Apcnt_1000080,0
Apcnt_1000084,0
Apcnt_1000104,0
Apcnt_1000116,1
Apcnt_1000128,0
Apcnt_1000156,0
Apcnt_1000192,0
Apcnt_1000208,0
Apcnt_1000264,0
Apcnt_1000288,0
Apcnt_1000292,1
Apcnt_1000328,1
Apcnt_1000336,0
Apcnt_1000356,0
Apcnt_1000368,0
Apcnt_1000372,1
Apcnt_1000392,0
Apcnt_1000396,0
Apcnt_1000400,0
Apcnt_1000416,0
Apcnt_1000428,0
Apcnt_1000440,0
Apcnt_1000456,0
Apcnt_1000472,0
Apcnt_1000488,0
Apcnt_1000492,0
Apcnt_1000504,1
Apcnt_1000516,0
Apcnt_1000532,0
Apcnt_1000552,0
Apcnt_1000564,0
Apcnt_1000576,1
Apcnt_1000596,0
Apcnt_1000620,0
Apcnt_1000624,0
Apcnt_1000636,0
Apcnt_1000648,0
Apcnt_1000668,0
Apcnt_1000680,0
Apcnt_1000696,0
Apcnt_1000704,1
Apcnt_1000724,0
Apcnt_1000740,0
Apcnt_1000744,0
Apcnt_1000756,0
Apcnt_1000768,0
Apcnt_1000784,0
Apcnt_1000796,0
Apcnt_1000808,0
Apcnt_1000816,0
Apcnt_1000820,0
Apcnt_1000824,0
Apcnt_1000856,1
Apcnt_1000872,0
Apcnt_1000880,0
Apcnt_1000904,0
Apcnt_1000912,1
Apcnt_1000920,1
Apcnt_1000952,0
Apcnt_1000960,0
Apcnt_1000964,0
Apcnt_1000968,0
Apcnt_1000976,1
Apcnt_1000984,1
Apcnt_1000992,0
Apcnt_1000996,0
Apcnt_1001000,0
Apcnt_1001008,0
Apcnt_1001028,0
Apcnt_1001032,0
Apcnt_1001036,1
Apcnt_1001040,0
Apcnt_1001048,1
Apcnt_1001052,0
Apcnt_1001068,1
Apcnt_1001076,0
Apcnt_1001080,0
Apcnt_1001092,0
Apcnt_1001120,1
Apcnt_1001144,1
Apcnt_1001148,0
Apcnt_1001168,0
Apcnt_1001176,1
Apcnt_1001200,0
Apcnt_1001224,0
Apcnt_1001228,0
Apcnt_1001236,0
Apcnt_1001244,0
Apcnt_1001248,0
Apcnt_1001256,0
Apcnt_1001260,0
Apcnt_1001264,0
Apcnt_1001288,0
Apcnt_1001292,0
Apcnt_1001296,0
Apcnt_1001304,0
Apcnt_1001308,0
Apcnt_1001316,0
Apcnt_1001320,0
Apcnt_1001352,0
Apcnt_1001360,0
Apcnt_1001376,1
Apcnt_1001384,0
Apcnt_1001388,0
Apcnt_1001400,1
Apcnt_1001416,1
Apcnt_1001436,1
Apcnt_1001452,0
Apcnt_1001456,0
Apcnt_1001468,1
Apcnt_1001480,0
Apcnt_1001488,0
Apcnt_1001508,0
Apcnt_1001512,0
Apcnt_1001516,0
Apcnt_1001528,0
Apcnt_1001532,0
Apcnt_1001548,0
Apcnt_1001552,0
Apcnt_1001572,0
Apcnt_1001580,0
Apcnt_1001584,0
Apcnt_1001624,0
Apcnt_1001632,0
Apcnt_1001668,0
Apcnt_1001692,0
Apcnt_1001700,0
Apcnt_1001708,0
Apcnt_1001716,0
Apcnt_1001732,0
Apcnt_1001752,1
Apcnt_1001760,0
Apcnt_1001764,0
Apcnt_1001776,0
Apcnt_1001780,0
Apcnt_1001788,1
Apcnt_1001792,0
Apcnt_1001800,0
Apcnt_1001820,0
Apcnt_1001828,1
Apcnt_1001836,0
Apcnt_1001844,0
Apcnt_1001848,0
Apcnt_1001860,0
Apcnt_1001880,0
Apcnt_1001888,0
Apcnt_1001900,0
Apcnt_1001908,1
Apcnt_1001936,0
Apcnt_1001940,0
Apcnt_1001960,0
Apcnt_1001988,0
Apcnt_1002000,0
Apcnt_1002020,0
Apcnt_1002024,1
Apcnt_1002028,0
Apcnt_1002032,0
Apcnt_1002044,0
Apcnt_1002052,0
Apcnt_1002056,0
Apcnt_1002080,0
Apcnt_1002084,0
Apcnt_1002096,0
Apcnt_1002112,0
Apcnt_1002124,0
Apcnt_1002140,0
Apcnt_1002152,0
Apcnt_1002156,0
Apcnt_1002168,0
Apcnt_1002176,1
Apcnt_1002200,0
Apcnt_1002228,0
Apcnt_1002252,0
Apcnt_1002268,1
Apcnt_1002272,0
Apcnt_1002276,1
Apcnt_1002288,0
Apcnt_1002304,1
Apcnt_1002312,0
Apcnt_1002320,0
Apcnt_1002324,0
Apcnt_1002336,0
Apcnt_1002368,0
Apcnt_1002384,0
Apcnt_1002388,0
Apcnt_1002400,0
Apcnt_1002404,0
Apcnt_1002412,0
Apcnt_1002420,0
Apcnt_1002424,0
Apcnt_1002432,0
Apcnt_1002444,0
Apcnt_1002456,0
Apcnt_1002468,0
Apcnt_1002472,0
Apcnt_1002484,0
Apcnt_1002536,0
Apcnt_1002568,0
Apcnt_1002576,0
Apcnt_1002580,0
Apcnt_1002604,0
Apcnt_1002612,0
Apcnt_1002616,1
Apcnt_1002624,0
Apcnt_1002632,0
Apcnt_1002636,1
Apcnt_1002644,0
Apcnt_1002656,0
Apcnt_1002672,0
Apcnt_1002680,0
Apcnt_1002700,0
Apcnt_1002736,1
Apcnt_1002756,0
Apcnt_1002760,0
Apcnt_1002768,1
Apcnt_1002780,1
Apcnt_1002784,0
Apcnt_1002788,0
Apcnt_1002796,0
Apcnt_1002800,0
Apcnt_1002808,0
Apcnt_1002812,0
Apcnt_1002832,0
Apcnt_1002848,0
Apcnt_1002852,0
Apcnt_1002860,0
Apcnt_1002868,0
Apcnt_1002872,1
Apcnt_1002888,1
Apcnt_1002892,0
Apcnt_1002896,0
Apcnt_1002912,0
Apcnt_1002932,0
Apcnt_1002936,0
Apcnt_1002980,0
Apcnt_1002992,0
Apcnt_1003000,0
Apcnt_1003028,0
Apcnt_1003036,0
Apcnt_1003040,0
Apcnt_1003048,1
Apcnt_1003076,1
Apcnt_1003080,1
Apcnt_1003100,0
Apcnt_1003148,0
Apcnt_1003152,0
Apcnt_1003180,0
Apcnt_1003200,0
Apcnt_1003208,1
Apcnt_1003216,0
Apcnt_1003224,0
Apcnt_1003228,0
Apcnt_1003232,0
Apcnt_1003236,0
Apcnt_1003276,0
Apcnt_1003280,0
Apcnt_1003308,0
Apcnt_1003312,1
Apcnt_1003324,0
Apcnt_1003340,0
Apcnt_1003356,0
Apcnt_1003384,0
Apcnt_1003400,0
Apcnt_1003412,0
Apcnt_1003424,0
Apcnt_1003428,0
Apcnt_1003452,0
Apcnt_1003456,0
Apcnt_1003460,0
Apcnt_1003484,0
Apcnt_1003504,0
Apcnt_1003516,0
Apcnt_1003520,0
Apcnt_1003524,0
Apcnt_1003532,0
Apcnt_1003560,1
Apcnt_1003584,0
Apcnt_1003588,0
Apcnt_1003600,0
Apcnt_1003612,0
Apcnt_1003620,1
Apcnt_1003636,0
Apcnt_1003656,0
Apcnt_1003676,0
Apcnt_1003696,0
Apcnt_1003720,0
Apcnt_1003728,0
Apcnt_1003732,1
Apcnt_1003736,0
Apcnt_1003740,0
Apcnt_1003744,0
Apcnt_1003752,0
Apcnt_1003772,0
Apcnt_1003780,0
Apcnt_1003808,0
Apcnt_1003812,0
Apcnt_1003828,1
Apcnt_1003840,0
Apcnt_1003860,0
Apcnt_1003864,0
Apcnt_1003880,0
Apcnt_1003888,0
Apcnt_1003892,0
Apcnt_1003896,0
Apcnt_1003904,0
Apcnt_1003924,0
Apcnt_1003928,0
Apcnt_1003964,0
Apcnt_1003972,0
Apcnt_1003984,0
Apcnt_1004016,0
Apcnt_1004028,0
Apcnt_1004044,0
Apcnt_1004048,0
Apcnt_1004068,0
Apcnt_1004096,0
Apcnt_1004100,0
Apcnt_1004128,0
Apcnt_1004144,1
Apcnt_1004152,0
Apcnt_1004172,0
Apcnt_1004208,0
Apcnt_1004216,0
Apcnt_1004220,0
Apcnt_1004228,0
Apcnt_1004240,0
Apcnt_1004248,0
Apcnt_1004264,0
Apcnt_1004272,0
Apcnt_1004288,1
Apcnt_1004292,0
Apcnt_1004300,1
Apcnt_1004304,0
Apcnt_1004312,0
Apcnt_1004316,0
Apcnt_1004332,0
Apcnt_1004344,0
Apcnt_1004348,0
Apcnt_1004352,1
Apcnt_1004384,0
Apcnt_1004392,0
Apcnt_1004404,0
Apcnt_1004408,0
Apcnt_1004428,0
Apcnt_1004432,0
Apcnt_1004452,0
Apcnt_1004456,0
Apcnt_1004464,0
Apcnt_1004476,0
Apcnt_1004484,0
Apcnt_1004488,0
Apcnt_1004500,0
Apcnt_1004512,0
Apcnt_1004528,0
Apcnt_1004536,0
Apcnt_1004544,0
Apcnt_1004564,0
Apcnt_1004572,0
Apcnt_1004588,0
Apcnt_1004624,0
Apcnt_1004632,0
Apcnt_1004636,0
Apcnt_1004648,1
Apcnt_1004680,1
Apcnt_1004684,0
Apcnt_1004704,1
Apcnt_1004708,0
Apcnt_1004712,0
Apcnt_1004716,1
Apcnt_1004752,0
Apcnt_1004760,0
Apcnt_1004772,0
Apcnt_1004788,0
Apcnt_1004792,0
Apcnt_1004808,0
Apcnt_1004812,0
Apcnt_1004824,0
Apcnt_1004828,0
Apcnt_1004836,0
Apcnt_1004864,0
Apcnt_1004884,0
Apcnt_1004888,0
Apcnt_1004900,1
Apcnt_1004912,0
Apcnt_1004932,1
Apcnt_1004944,0
Apcnt_1004968,0
Apcnt_1004972,0
Apcnt_1004976,0
Apcnt_1004996,0
